Date,LSTM_Forecast_Close
2025-12-22,123.86831
2025-12-23,123.97654
2025-12-24,123.985115
2025-12-25,123.94715
2025-12-26,123.88323
2025-12-27,123.80238
2025-12-28,123.707
2025-12-29,123.598366
2025-12-30,123.47778
2025-12-31,123.346176
2026-01-01,123.20414
2026-01-02,123.05568
2026-01-03,122.9014
2026-01-04,122.7412
2026-01-05,122.57653
2026-01-06,122.40905
2026-01-07,122.23978
2026-01-08,122.06959
2026-01-09,121.89949
2026-01-10,121.72909
2026-01-11,121.55892
2026-01-12,121.38856
2026-01-13,121.21883
2026-01-14,121.04898
2026-01-15,120.879295
2026-01-16,120.7101
2026-01-17,120.5402
2026-01-18,120.36989
2026-01-19,120.20042
2026-01-20,120.03066
2026-01-21,119.86074
2026-01-22,119.69029
2026-01-23,119.51961
2026-01-24,119.3486
2026-01-25,119.17725
2026-01-26,119.005554
2026-01-27,118.83348
2026-01-28,118.66102
2026-01-29,118.48817
2026-01-30,118.314926
2026-01-31,118.1413
2026-02-01,117.967285
2026-02-02,117.79286
2026-02-03,117.618034
2026-02-04,117.44281
2026-02-05,117.26719
2026-02-06,117.09114
2026-02-07,116.91469
2026-02-08,116.737816
2026-02-09,116.56053
2026-02-10,116.382835
2026-02-11,116.20467
2026-02-12,116.02611
2026-02-13,115.84709
2026-02-14,115.667625
2026-02-15,115.48771
2026-02-16,115.307335
2026-02-17,115.126495
2026-02-18,114.9452
2026-02-19,114.76343
2026-02-20,114.58118
2026-02-21,114.39842
2026-02-22,114.21519
2026-02-23,114.03146
2026-02-24,113.84724
2026-02-25,113.662506
2026-02-26,113.47725
2026-02-27,113.29148
2026-02-28,113.10517
2026-03-01,112.91834
2026-03-02,112.73098
2026-03-03,112.54308
2026-03-04,112.35461
2026-03-05,112.16561
2026-03-06,111.97603
2026-03-07,111.78589
2026-03-08,111.59517
2026-03-09,111.40387
2026-03-10,111.21199
2026-03-11,111.019516
2026-03-12,110.82643
2026-03-13,110.63275
2026-03-14,110.43846
2026-03-15,110.24355
2026-03-16,110.04803
2026-03-17,109.85186
2026-03-18,109.65505
2026-03-19,109.4576
2026-03-20,109.25951
2026-03-21,109.060745
