Date,XGBoost_Forecast_Close
2025-12-22,3.273221
2025-12-23,3.4025595
2025-12-24,3.4357252
2025-12-25,3.3187327
2025-12-26,3.3213627
2025-12-27,3.325648
2025-12-28,3.3430161
2025-12-29,3.3430161
2025-12-30,3.3247511
2025-12-31,3.3080952
2026-01-01,3.314725
2026-01-02,3.3474844
2026-01-03,3.3430161
2026-01-04,3.3363864
2026-01-05,3.3201687
2026-01-06,3.314725
2026-01-07,3.3193073
2026-01-08,3.3309426
2026-01-09,3.3430161
2026-01-10,3.3430161
2026-01-11,3.3247511
2026-01-12,3.3080952
2026-01-13,3.314725
2026-01-14,3.3474844
2026-01-15,3.3430161
2026-01-16,3.3363864
2026-01-17,3.3201687
2026-01-18,3.314725
2026-01-19,3.3193073
2026-01-20,3.3309426
2026-01-21,3.3430161
2026-01-22,3.3430161
2026-01-23,3.3247511
2026-01-24,3.3080952
2026-01-25,3.314725
2026-01-26,3.3474844
2026-01-27,3.3430161
2026-01-28,3.3363864
2026-01-29,3.3201687
2026-01-30,3.314725
2026-01-31,3.3193073
2026-02-01,3.3309426
2026-02-02,3.3430161
2026-02-03,3.3430161
2026-02-04,3.3247511
2026-02-05,3.3080952
2026-02-06,3.314725
2026-02-07,3.3474844
2026-02-08,3.3430161
2026-02-09,3.3363864
2026-02-10,3.3201687
2026-02-11,3.314725
2026-02-12,3.3193073
2026-02-13,3.3309426
2026-02-14,3.3430161
2026-02-15,3.3430161
2026-02-16,3.3247511
2026-02-17,3.3080952
2026-02-18,3.314725
2026-02-19,3.3474844
2026-02-20,3.3430161
2026-02-21,3.3363864
2026-02-22,3.3201687
2026-02-23,3.314725
2026-02-24,3.3193073
2026-02-25,3.3309426
2026-02-26,3.3430161
2026-02-27,3.3430161
2026-02-28,3.3247511
2026-03-01,3.3080952
2026-03-02,3.314725
2026-03-03,3.3474844
2026-03-04,3.3430161
2026-03-05,3.3363864
2026-03-06,3.3201687
2026-03-07,3.314725
2026-03-08,3.3193073
2026-03-09,3.3309426
2026-03-10,3.3430161
2026-03-11,3.3430161
2026-03-12,3.3247511
2026-03-13,3.3080952
2026-03-14,3.314725
2026-03-15,3.3474844
2026-03-16,3.3430161
2026-03-17,3.3363864
2026-03-18,3.3201687
2026-03-19,3.314725
2026-03-20,3.3193073
2026-03-21,3.3309426
