Date,LSTM_Forecast_Close
2026-01-16,0.43670043
2026-01-17,0.4445338
2026-01-18,0.4517375
2026-01-19,0.45848423
2026-01-20,0.46489805
2026-01-21,0.47105786
2026-01-22,0.47700801
2026-01-23,0.48277694
2026-01-24,0.48837867
2026-01-25,0.4938221
2026-01-26,0.49911463
2026-01-27,0.5042601
2026-01-28,0.50926596
2026-01-29,0.51413697
2026-01-30,0.51887864
2026-01-31,0.52349675
2026-02-01,0.52799326
2026-02-02,0.5323743
2026-02-03,0.5366437
2026-02-04,0.54080635
2026-02-05,0.5448653
2026-02-06,0.5488247
2026-02-07,0.55268776
2026-02-08,0.5564576
2026-02-09,0.5601363
2026-02-10,0.5637264
2026-02-11,0.56723076
2026-02-12,0.5706515
2026-02-13,0.5739879
2026-02-14,0.57724476
2026-02-15,0.58042306
2026-02-16,0.5835245
2026-02-17,0.5865507
2026-02-18,0.5895034
2026-02-19,0.59238416
2026-02-20,0.59519476
2026-02-21,0.59793675
2026-02-22,0.6006117
2026-02-23,0.60322106
2026-02-24,0.60576653
2026-02-25,0.60824955
2026-02-26,0.61067146
2026-02-27,0.61303383
2026-02-28,0.615338
2026-03-01,0.6175855
2026-03-02,0.6197774
2026-03-03,0.6219152
2026-03-04,0.62400025
2026-03-05,0.62603366
2026-03-06,0.6280168
2026-03-07,0.6299508
2026-03-08,0.6318369
2026-03-09,0.63367623
2026-03-10,0.63546985
2026-03-11,0.63721895
2026-03-12,0.6389246
2026-03-13,0.64058787
2026-03-14,0.6422097
2026-03-15,0.64379114
2026-03-16,0.64533323
2026-03-17,0.6468369
2026-03-18,0.64830303
2026-03-19,0.64973253
2026-03-20,0.6511264
2026-03-21,0.65248543
2026-03-22,0.6538105
2026-03-23,0.6551024
2026-03-24,0.656362
2026-03-25,0.6575901
2026-03-26,0.6587875
2026-03-27,0.6599548
2026-03-28,0.6610929
2026-03-29,0.6622024
2026-03-30,0.6632841
2026-03-31,0.6643387
2026-04-01,0.6653668
2026-04-02,0.6663691
2026-04-03,0.66734624
2026-04-04,0.6682987
2026-04-05,0.66922736
2026-04-06,0.6701326
2026-04-07,0.671015
2026-04-08,0.6718753
2026-04-09,0.6727139
2026-04-10,0.67353135
2026-04-11,0.6743282
2026-04-12,0.67510504
2026-04-13,0.67586225
2026-04-14,0.67660046
2026-04-15,0.67731994
