Date,Prophet_Forecast_Close
2025-12-22,1019.2882110546001
2025-12-23,1023.1090328594637
2025-12-24,1028.8116556432
2025-12-25,1031.733247408977
2025-12-26,1035.6400245265013
2025-12-27,1040.9681378292137
2025-12-28,1045.9409121633705
2025-12-29,1049.3259212991813
2025-12-30,1053.9581678029276
2025-12-31,1060.1873004021072
2026-01-01,1063.326046803048
2026-01-02,1067.1228020223068
2026-01-03,1072.0031476879026
2026-01-04,1076.1875382182063
2026-01-05,1078.4486207609932
2026-01-06,1081.6344490098809
2026-01-07,1086.115519819817
2026-01-08,1087.2328129998598
2026-01-09,1088.7697827792613
2026-01-10,1091.193090664378
2026-01-11,1092.7693353265865
2026-01-12,1092.3212710886721
2026-01-13,1092.749804101304
2026-01-14,1094.4797276034706
2026-01-15,1092.9064117172534
2026-01-16,1091.8664329665637
2026-01-17,1091.8769705215127
2026-01-18,1091.2512616280267
2026-01-19,1088.8536430968966
2026-01-20,1087.6205007272913
2026-01-21,1088.0051173737995
2026-01-22,1085.4236601040072
2026-01-23,1083.7253115833198
2026-01-24,1083.4313869948332
2026-01-25,1082.8507371871983
2026-01-26,1080.8349668248038
2026-01-27,1080.2997849011354
2026-01-28,1081.6704674983855
2026-01-29,1080.328656386281
2026-01-30,1080.0834761708556
2026-01-31,1081.411783922035
2026-02-01,1082.574820402127
2026-02-02,1082.3747567919543
2026-02-03,1083.6774170732092
2026-02-04,1086.8591174751389
2026-02-05,1087.2548079224325
2026-02-06,1088.6304604580337
2026-02-07,1091.4244828287433
2026-02-08,1093.8653936335486
2026-02-09,1094.7292241670143
2026-02-10,1096.8629031373966
2026-02-11,1100.6315471673925
2026-02-12,1101.3668295298867
2026-02-13,1102.8393659895023
2026-02-14,1105.4998964005804
2026-02-15,1107.5965054852986
2026-02-16,1107.9313613166294
2026-02-17,1109.383247070789
2026-02-18,1112.3538337862615
2026-02-19,1112.2148961488956
2026-02-20,1112.779443636037
2026-02-21,1114.541582070563
2026-02-22,1115.792387304608
2026-02-23,1115.3753086505938
2026-02-24,1116.2074163914062
2026-02-25,1118.7244784320992
2026-02-26,1118.3271029214852
2026-02-27,1118.8509504641586
2026-02-28,1120.8058578359787
2026-03-01,1122.4911765819063
2026-03-02,1122.7508599405503
2026-03-03,1124.4946219602678
2026-03-04,1128.1431568275589
2026-03-05,1129.0746515280932
2026-03-06,1131.0955851871247
2026-03-07,1134.6806404522501
2026-03-08,1138.0890079424425
2026-03-09,1140.1205896861468
2026-03-10,1143.638393514316
2026-03-11,1149.015071067175
2026-03-12,1151.5807947271867
2026-03-13,1155.095427657579
2026-03-14,1159.9897729109448
2026-03-15,1164.4831441366293
2026-03-16,1167.340727328025
2026-03-17,1171.3969921595078
2026-03-18,1177.00307618646
2026-03-19,1179.475312714622
2026-03-20,1182.5678376001028
2026-03-21,1186.7140481623267
