Date,Predicted_Close
2022-02-05,21.172302
2022-02-06,21.302904
2022-02-07,21.584253
2022-02-08,22.37072
2022-02-09,23.242105
2022-02-10,23.849138
2022-02-11,23.860802
2022-02-12,22.992403
2022-02-13,21.87565
2022-02-14,20.84483
2022-02-15,20.127365
2022-02-16,20.16049
2022-02-17,20.772543
2022-02-18,20.914808
2022-02-19,21.022919
2022-02-20,21.001255
2022-02-21,20.661177
2022-02-22,19.947054
2022-02-23,19.375446
2022-02-24,18.818453
2022-02-25,18.402882
2022-02-26,18.282362
2022-02-27,18.38484
2022-02-28,18.900608
2022-03-01,19.838379
2022-03-02,20.589506
2022-03-03,21.0073
2022-03-04,20.994694
2022-03-05,20.402176
2022-03-06,19.736296
2022-03-07,18.987259
2022-03-08,18.259094
2022-03-09,17.748333
2022-03-10,17.668053
2022-03-11,17.616138
2022-03-12,17.51289
2022-03-13,17.500137
2022-03-14,17.427036
2022-03-15,17.396984
2022-03-16,17.247679
2022-03-17,17.21271
2022-03-18,17.241375
2022-03-19,17.33647
2022-03-20,17.576586
2022-03-21,17.696178
2022-03-22,17.779804
2022-03-23,17.924162
2022-03-24,18.309023
2022-03-25,18.771269
2022-03-26,18.98715
2022-03-27,19.166039
2022-03-28,20.321487
2022-03-29,22.032724
2022-03-30,23.989157
2022-03-31,25.393713
2022-04-01,25.668774
2022-04-02,25.617575
2022-04-03,24.881573
2022-04-04,24.416702
2022-04-05,24.09319
2022-04-06,23.846436
2022-04-07,22.877882
2022-04-08,22.09721
2022-04-09,21.290386
2022-04-10,20.839811
2022-04-11,20.545744
2022-04-12,19.752186
2022-04-13,19.26149
2022-04-14,19.015802
2022-04-15,18.797815
2022-04-16,18.769707
2022-04-17,19.478228
2022-04-18,19.915134
2022-04-19,20.118816
2022-04-20,20.327269
2022-04-21,20.265474
2022-04-22,19.887238
2022-04-23,19.518017
2022-04-24,19.143635
2022-04-25,18.841875
2022-04-26,18.587814
2022-04-27,18.096807
2022-04-28,17.726414
2022-04-29,17.5871
2022-04-30,17.414314
2022-05-01,16.596891
2022-05-02,15.857846
2022-05-03,15.188928
2022-05-04,14.710248
2022-05-05,14.67565
2022-05-06,14.512107
2022-05-07,14.322756
2022-05-08,14.028804
2022-05-09,13.709769
2022-05-10,13.029663
2022-05-11,12.363306
2022-05-12,11.273144
2022-05-13,10.126939
2022-05-14,9.285393
2022-05-15,8.777398
2022-05-16,8.618888
2022-05-17,8.52419
2022-05-18,8.548666
2022-05-19,8.448089
2022-05-20,8.416674
2022-05-21,8.36789
2022-05-22,8.359425
2022-05-23,8.422858
2022-05-24,8.44945
2022-05-25,8.496143
2022-05-26,8.493758
2022-05-27,8.366309
2022-05-28,8.10864
2022-05-29,7.8861675
2022-05-30,7.734865
2022-05-31,7.7543216
2022-06-01,7.8402486
2022-06-02,7.8377066
2022-06-03,7.843962
2022-06-04,7.785368
2022-06-05,7.712953
2022-06-06,7.627736
2022-06-07,7.5882654
2022-06-08,7.536781
2022-06-09,7.464344
2022-06-10,7.4000106
2022-06-11,7.2798877
2022-06-12,7.02451
2022-06-13,6.6769
2022-06-14,6.2728467
2022-06-15,5.940248
2022-06-16,5.7666516
2022-06-17,5.6210923
2022-06-18,5.5294633
2022-06-19,5.445892
2022-06-20,5.4433722
2022-06-21,5.485441
2022-06-22,5.626398
2022-06-23,5.727475
2022-06-24,5.8324776
2022-06-25,5.9728937
2022-06-26,6.1005282
2022-06-27,6.1537304
2022-06-28,6.144427
2022-06-29,6.052853
2022-06-30,5.918705
2022-07-01,5.7749677
2022-07-02,5.6379895
2022-07-03,5.5336204
2022-07-04,5.462454
2022-07-05,5.4649754
2022-07-06,5.4983773
2022-07-07,5.5586114
2022-07-08,5.6629705
2022-07-09,5.761521
2022-07-10,5.8514104
2022-07-11,5.8650312
2022-07-12,5.783264
2022-07-13,5.6429286
2022-07-14,5.529594
2022-07-15,5.4614043
2022-07-16,5.4094872
2022-07-17,5.403401
2022-07-18,5.475179
2022-07-19,5.6296096
2022-07-20,5.816371
2022-07-21,5.908105
2022-07-22,5.9380713
2022-07-23,5.90088
2022-07-24,5.8477535
2022-07-25,5.805034
2022-07-26,5.7063875
2022-07-27,5.6065445
2022-07-28,5.579636
2022-07-29,5.6482067
2022-07-30,5.763884
2022-07-31,6.246373
2022-08-01,7.1768327
