Date,LSTM_Forecast_Close
2025-12-22,3.7379634
2025-12-23,3.7577279
2025-12-24,3.8008523
2025-12-25,3.854633
2025-12-26,3.912625
2025-12-27,3.9715765
2025-12-28,4.0298867
2025-12-29,4.08682
2025-12-30,4.1420884
2025-12-31,4.1956415
2026-01-01,4.247545
2026-01-02,4.297877
2026-01-03,4.346787
2026-01-04,4.3944235
2026-01-05,4.440908
2026-01-06,4.4863505
2026-01-07,4.530864
2026-01-08,4.5745206
2026-01-09,4.6173863
2026-01-10,4.6595464
2026-01-11,4.701042
2026-01-12,4.7419224
2026-01-13,4.782211
2026-01-14,4.8219476
2026-01-15,4.861157
2026-01-16,4.8998404
2026-01-17,4.938027
2026-01-18,4.9757276
2026-01-19,5.012935
2026-01-20,5.0496655
2026-01-21,5.085933
2026-01-22,5.121722
2026-01-23,5.157054
2026-01-24,5.191933
2026-01-25,5.226363
2026-01-26,5.2603507
2026-01-27,5.2939024
2026-01-28,5.327024
2026-01-29,5.359722
2026-01-30,5.3920035
2026-01-31,5.4238744
2026-02-01,5.455342
2026-02-02,5.4864116
2026-02-03,5.5170903
2026-02-04,5.5473857
2026-02-05,5.577302
2026-02-06,5.6068473
2026-02-07,5.636026
2026-02-08,5.664845
2026-02-09,5.6933103
2026-02-10,5.721427
2026-02-11,5.749201
2026-02-12,5.7766376
2026-02-13,5.803742
2026-02-14,5.8305197
2026-02-15,5.8569756
2026-02-16,5.8831143
2026-02-17,5.9089417
2026-02-18,5.9344616
2026-02-19,5.9596786
2026-02-20,5.984598
2026-02-21,6.009224
2026-02-22,6.0335608
2026-02-23,6.057613
2026-02-24,6.081384
2026-02-25,6.1048794
2026-02-26,6.128102
2026-02-27,6.1510563
2026-02-28,6.173746
2026-03-01,6.196175
2026-03-02,6.218347
2026-03-03,6.2402663
2026-03-04,6.2619357
2026-03-05,6.2833586
2026-03-06,6.30454
2026-03-07,6.3254814
2026-03-08,6.346187
2026-03-09,6.3666606
2026-03-10,6.3869047
2026-03-11,6.406923
2026-03-12,6.426718
2026-03-13,6.446293
2026-03-14,6.465652
2026-03-15,6.4847956
2026-03-16,6.50373
2026-03-17,6.5224547
2026-03-18,6.540975
2026-03-19,6.559293
2026-03-20,6.57741
2026-03-21,6.59533
