Date,LSTM_Forecast_Close
2025-12-22,1.4493995
2025-12-23,1.4826376
2025-12-24,1.5282568
2025-12-25,1.5805016
2025-12-26,1.6359824
2025-12-27,1.6926892
2025-12-28,1.7494136
2025-12-29,1.8054473
2025-12-30,1.8603654
2025-12-31,1.913928
2026-01-01,1.9660014
2026-01-02,2.016567
2026-01-03,2.0656416
2026-01-04,2.113256
2026-01-05,2.159479
2026-01-06,2.2044015
2026-01-07,2.2481084
2026-01-08,2.2907064
2026-01-09,2.3322828
2026-01-10,2.3729055
2026-01-11,2.4126458
2026-01-12,2.4515772
2026-01-13,2.4897666
2026-01-14,2.5272586
2026-01-15,2.5640922
2026-01-16,2.600314
2026-01-17,2.6359367
2026-01-18,2.6709874
2026-01-19,2.7055101
2026-01-20,2.7395127
2026-01-21,2.772978
2026-01-22,2.8059597
2026-01-23,2.8384447
2026-01-24,2.8704407
2026-01-25,2.9019551
2026-01-26,2.9329932
2026-01-27,2.9635603
2026-01-28,2.9936619
2026-01-29,3.0233035
2026-01-30,3.0524898
2026-01-31,3.0812266
2026-02-01,3.1095197
2026-02-02,3.1373749
2026-02-03,3.1647987
2026-02-04,3.191797
2026-02-05,3.2183769
2026-02-06,3.2445445
2026-02-07,3.2703068
2026-02-08,3.2956705
2026-02-09,3.3206422
2026-02-10,3.3452291
2026-02-11,3.3694372
2026-02-12,3.3932734
2026-02-13,3.416744
2026-02-14,3.4398558
2026-02-15,3.4626148
2026-02-16,3.4850268
2026-02-17,3.507098
2026-02-18,3.528834
2026-02-19,3.5502415
2026-02-20,3.5713248
2026-02-21,3.59209
2026-02-22,3.6125424
2026-02-23,3.6326869
2026-02-24,3.6525285
2026-02-25,3.672073
2026-02-26,3.6913245
2026-02-27,3.7102883
2026-02-28,3.7289681
2026-03-01,3.74737
2026-03-02,3.7654972
2026-03-03,3.7833548
2026-03-04,3.800947
2026-03-05,3.8182776
2026-03-06,3.8353515
2026-03-07,3.8521724
2026-03-08,3.8687444
2026-03-09,3.8850713
2026-03-10,3.9011571
2026-03-11,3.9170058
2026-03-12,3.9326208
2026-03-13,3.9480062
2026-03-14,3.963165
2026-03-15,3.9781017
2026-03-16,3.992819
2026-03-17,4.00732
2026-03-18,4.0216093
2026-03-19,4.0356894
2026-03-20,4.0495634
2026-03-21,4.063235
