Model,RMSE,MAE,SMAPE (%)
Random Forest,10.38184007039006,6.295284258352957,4.273663191140238
XGBoost,10.680126227483424,6.756360897550296,4.596435984868395
LSTM,13.347095794676225,8.830646227809115,5.743472612735298
ARIMA,38.48337514095571,29.199771978038402,17.680230489453475
Prophet,71.56482097670217,60.82130350722158,32.23273612543997
