Date,ARIMA_LogReturn_Forecast,ARIMA_Forecast_Close
2025-12-21,0.0009520565473229106,125.92887060704982
2025-12-22,0.0005292633972335143,125.99553778961061
2025-12-23,-0.00036623665300800046,125.94940205437092
2025-12-24,-0.00045125012344663187,125.89258019254615
2025-12-25,-0.00021202589576342423,125.86589053501011
2025-12-26,-0.00013208331689040618,125.84926684858486
2025-12-27,-0.00018274442009056038,125.82627069856885
2025-12-28,-0.00021758133492328973,125.79889622881666
2025-12-29,-0.0002109970324732999,125.7723558350946
2025-12-30,-0.00019940146931526838,125.74727914278957
2025-12-31,-0.00019862147615511976,125.72230551281547
2026-01-01,-0.00020179336770405492,125.6969381449599
2026-01-02,-0.00020275295087227336,125.67145530328335
2026-01-03,-0.00020205800010413206,125.64606494560344
2026-01-04,-0.00020161973974986815,125.6207347723058
2026-01-05,-0.00020171923016654302,125.59539721001725
2026-01-06,-0.00020186896144888414,125.57004595652141
2026-01-07,-0.00020187485032163973,125.54469908082352
2026-01-08,-0.00020183292420621014,125.51936258404506
2026-01-09,-0.0002018215186064868,125.49403263182452
2026-01-10,-0.0002018310002911057,125.46870660156286
2026-01-11,-0.00020183649214659753,125.44338499344647
2026-01-12,-0.000201835021878526,125.41806868003708
2026-01-13,-0.00020183309385393705,125.39275771759105
2026-01-14,-0.00020183307271759166,125.3674518658692
2026-01-15,-0.00020183362523946651,125.34215105193546
2026-01-16,-0.00020183375922167268,125.3168553272512
2026-01-17,-0.0002018336304892291,125.29156472371201
2026-01-18,-0.00020183356196061655,125.26627923273641
2026-01-19,-0.00020183358331886844,125.24099884203159
2026-01-20,-0.00020183360807424913,125.21572355014396
2026-01-21,-0.00020183360762853587,125.1904533592007
2026-01-22,-0.00020183360036832548,125.16518826902531
2026-01-23,-0.00020183359881693842,125.13992827787358
2026-01-24,-0.0002018336005569054,125.1146733843046
2026-01-25,-0.00020183360140811347,125.08942358740089
2026-01-26,-0.00020183360110206664,125.06417888627861
2026-01-27,-0.0002018336007851437,125.03893927991076
2026-01-28,-0.00020183360080027902,125.01370476722761
2026-01-29,-0.00020183360089540782,124.98847534719116
2026-01-30,-0.0002018336009130479,124.96325101878335
2026-01-31,-0.00020183360088962758,124.93803178098175
2026-02-01,-0.00020183360087910743,124.9128176327574
2026-02-02,-0.00020183360088344378,124.88760857308131
2026-02-03,-0.00020183360088748886,124.86240460092657
2026-02-04,-0.00020183360088717132,124.83720571526699
2026-02-05,-0.00020183360088592837,124.81201191507617
2026-02-06,-0.0002018336008857325,124.78682319932767
2026-02-07,-0.00020183360088604654,124.76163956699531
2026-02-08,-0.00020183360088617584,124.73646101705322
2026-02-09,-0.00020183360088611498,124.71128754847571
2026-02-10,-0.0002018336008860635,124.68611916023731
2026-02-11,-0.00020183360088606918,124.66095585131275
2026-02-12,-0.00020183360088608539,124.63579762067693
2026-02-13,-0.0002018336008860875,124.61064446730498
2026-02-14,-0.0002018336008860833,124.58549639017225
2026-02-15,-0.00020183360088608173,124.56035338825431
2026-02-16,-0.00020183360088608257,124.53521546052689
2026-02-17,-0.00020183360088608322,124.51008260596595
2026-02-18,-0.0002018336008860831,124.48495482354768
2026-02-19,-0.00020183360088608292,124.45983211224842
2026-02-20,-0.0002018336008860829,124.43471447104479
2026-02-21,-0.00020183360088608295,124.40960189891354
2026-02-22,-0.00020183360088608297,124.38449439483169
2026-02-23,-0.00020183360088608295,124.35939195777644
2026-02-24,-0.00020183360088608295,124.33429458672518
2026-02-25,-0.00020183360088608295,124.30920228065554
2026-02-26,-0.00020183360088608295,124.28411503854532
2026-02-27,-0.00020183360088608295,124.25903285937257
2026-02-28,-0.00020183360088608295,124.23395574211551
2026-03-01,-0.00020183360088608295,124.20888368575258
2026-03-02,-0.00020183360088608295,124.18381668926243
2026-03-03,-0.00020183360088608295,124.15875475162389
2026-03-04,-0.00020183360088608295,124.13369787181604
2026-03-05,-0.00020183360088608295,124.10864604881813
2026-03-06,-0.00020183360088608295,124.08359928160964
2026-03-07,-0.00020183360088608295,124.05855756917023
2026-03-08,-0.00020183360088608295,124.0335209104798
2026-03-09,-0.00020183360088608295,124.00848930451842
2026-03-10,-0.00020183360088608295,123.98346275026638
2026-03-11,-0.00020183360088608295,123.9584412467042
2026-03-12,-0.00020183360088608295,123.93342479281254
2026-03-13,-0.00020183360088608295,123.90841338757237
2026-03-14,-0.00020183360088608295,123.88340702996476
2026-03-15,-0.00020183360088608295,123.85840571897106
2026-03-16,-0.00020183360088608295,123.83340945357277
2026-03-17,-0.00020183360088608295,123.80841823275163
2026-03-18,-0.00020183360088608295,123.7834320554896
2026-03-19,-0.00020183360088608295,123.7584509207688
2026-03-20,-0.00020183360088608295,123.73347482757157
