Date,ARIMA_Forecast_Close
2025-12-22,3.5341924689296094
2025-12-23,3.539231124207472
2025-12-24,3.533656101498203
2025-12-25,3.5318319917630405
2025-12-26,3.5367660791224163
2025-12-27,3.535424279924939
2025-12-28,3.535268692149781
2025-12-29,3.5355642216238494
2025-12-30,3.535652617297657
2025-12-31,3.5354023862010937
2026-01-01,3.53549250328559
2026-01-02,3.535493444600337
2026-01-03,3.5354785844882044
2026-01-04,3.53547446169115
2026-01-05,3.535487274036649
2026-01-06,3.5354816137243077
2026-01-07,3.5354820098150004
2026-01-08,3.5354827136921845
2026-01-09,3.5354829037775986
2026-01-10,3.5354822434101427
2026-01-11,3.5354825854741208
2026-01-12,3.5354825383046884
2026-01-13,3.535482507578666
2026-01-14,3.535482498620739
2026-01-15,3.535482532838619
2026-01-16,3.535482512667657
2026-01-17,3.535482516667735
2026-01-18,3.535482517834547
2026-01-19,3.5354825182840686
2026-01-20,3.5354825165015087
2026-01-21,3.53548251767152
2026-01-22,3.5354825173748425
2026-01-23,3.5354825173434707
2026-01-24,3.5354825173186053
2026-01-25,3.5354825174120617
2026-01-26,3.5354825173449624
2026-01-27,3.5354825173654203
2026-01-28,3.5354825173651476
2026-01-29,3.5354825173666735
2026-01-30,3.535482517361734
2026-01-31,3.535482517365552
2026-02-01,3.535482517364205
2026-02-02,3.535482517364339
2026-02-03,3.5354825173642377
2026-02-04,3.5354825173645015
2026-02-05,3.535482517364285
2026-02-06,3.5354825173643714
2026-02-07,3.535482517364357
2026-02-08,3.5354825173643643
2026-02-09,3.53548251736435
2026-02-10,3.535482517364362
2026-02-11,3.5354825173643567
2026-02-12,3.535482517364358
2026-02-13,3.5354825173643576
2026-02-14,3.5354825173643585
2026-02-15,3.5354825173643576
2026-02-16,3.535482517364358
2026-02-17,3.535482517364358
2026-02-18,3.535482517364358
2026-02-19,3.535482517364358
2026-02-20,3.535482517364358
2026-02-21,3.535482517364358
2026-02-22,3.535482517364358
2026-02-23,3.535482517364358
2026-02-24,3.535482517364358
2026-02-25,3.535482517364358
2026-02-26,3.535482517364358
2026-02-27,3.535482517364358
2026-02-28,3.535482517364358
2026-03-01,3.535482517364358
2026-03-02,3.535482517364358
2026-03-03,3.535482517364358
2026-03-04,3.535482517364358
2026-03-05,3.535482517364358
2026-03-06,3.535482517364358
2026-03-07,3.535482517364358
2026-03-08,3.535482517364358
2026-03-09,3.535482517364358
2026-03-10,3.535482517364358
2026-03-11,3.535482517364358
2026-03-12,3.535482517364358
2026-03-13,3.535482517364358
2026-03-14,3.535482517364358
2026-03-15,3.535482517364358
2026-03-16,3.535482517364358
2026-03-17,3.535482517364358
2026-03-18,3.535482517364358
2026-03-19,3.535482517364358
2026-03-20,3.535482517364358
2026-03-21,3.535482517364358
