Date,XGBoost_Forecast_Close
2026-01-16,693.6027
2026-01-17,686.8067
2026-01-18,682.2252
2026-01-19,681.8221
2026-01-20,683.94086
2026-01-21,688.7612
2026-01-22,687.7975
2026-01-23,687.7975
2026-01-24,687.7975
2026-01-25,687.7975
2026-01-26,687.7975
2026-01-27,687.7975
2026-01-28,687.7975
2026-01-29,687.7975
2026-01-30,687.7975
2026-01-31,687.7975
2026-02-01,687.7975
2026-02-02,687.7975
2026-02-03,687.7975
2026-02-04,687.7975
2026-02-05,687.7975
2026-02-06,687.7975
2026-02-07,687.7975
2026-02-08,687.7975
2026-02-09,687.7975
2026-02-10,687.7975
2026-02-11,687.7975
2026-02-12,687.7975
2026-02-13,687.7975
2026-02-14,687.7975
2026-02-15,687.7975
2026-02-16,687.7975
2026-02-17,687.7975
2026-02-18,687.7975
2026-02-19,687.7975
2026-02-20,687.7975
2026-02-21,687.7975
2026-02-22,687.7975
2026-02-23,687.7975
2026-02-24,687.7975
2026-02-25,687.7975
2026-02-26,687.7975
2026-02-27,687.7975
2026-02-28,687.7975
2026-03-01,687.7975
2026-03-02,687.7975
2026-03-03,687.7975
2026-03-04,687.7975
2026-03-05,687.7975
2026-03-06,687.7975
2026-03-07,687.7975
2026-03-08,687.7975
2026-03-09,687.7975
2026-03-10,687.7975
2026-03-11,687.7975
2026-03-12,687.7975
2026-03-13,687.7975
2026-03-14,687.7975
2026-03-15,687.7975
2026-03-16,687.7975
2026-03-17,687.7975
2026-03-18,687.7975
2026-03-19,687.7975
2026-03-20,687.7975
2026-03-21,687.7975
2026-03-22,687.7975
2026-03-23,687.7975
2026-03-24,687.7975
2026-03-25,687.7975
2026-03-26,687.7975
2026-03-27,687.7975
2026-03-28,687.7975
2026-03-29,687.7975
2026-03-30,687.7975
2026-03-31,687.7975
2026-04-01,687.7975
2026-04-02,687.7975
2026-04-03,687.7975
2026-04-04,687.7975
2026-04-05,687.7975
2026-04-06,687.7975
2026-04-07,687.7975
2026-04-08,687.7975
2026-04-09,687.7975
2026-04-10,687.7975
2026-04-11,687.7975
2026-04-12,687.7975
2026-04-13,687.7975
2026-04-14,687.7975
2026-04-15,687.7975
