Date,Predicted_Close
2022-01-13,478.42828
2022-01-14,486.50775
2022-01-15,494.0745
2022-01-16,498.54712
2022-01-17,494.19904
2022-01-18,482.2669
2022-01-19,470.04382
2022-01-20,443.81464
2022-01-21,406.7177
2022-01-22,367.66867
2022-01-23,382.1536
2022-01-24,374.26663
2022-01-25,376.75076
2022-01-26,380.2731
2022-01-27,383.80405
2022-01-28,383.10016
2022-01-29,387.92685
2022-01-30,387.15604
2022-01-31,378.8037
2022-02-01,375.9828
2022-02-02,380.77136
2022-02-03,371.93262
2022-02-04,382.6004
2022-02-05,400.75443
2022-02-06,411.99716
2022-02-07,422.31345
2022-02-08,419.4154
2022-02-09,417.84766
2022-02-10,427.6441
2022-02-11,408.67978
2022-02-12,407.46255
2022-02-13,406.19284
2022-02-14,397.8015
2022-02-15,410.954
2022-02-16,424.64902
2022-02-17,415.92923
2022-02-18,403.82135
2022-02-19,400.44946
2022-02-20,394.18063
2022-02-21,375.46124
2022-02-22,375.88715
2022-02-23,367.7501
2022-02-24,367.1927
2022-02-25,371.95743
2022-02-26,376.2275
2022-02-27,376.20026
2022-02-28,381.07382
2022-03-01,400.7196
2022-03-02,406.08612
2022-03-03,410.54306
2022-03-04,394.88943
2022-03-05,380.80078
2022-03-06,380.99026
2022-03-07,377.4965
2022-03-08,378.81448
2022-03-09,386.17093
2022-03-10,387.71506
2022-03-11,375.76205
2022-03-12,372.81635
2022-03-13,368.99036
2022-03-14,369.70306
2022-03-15,376.2275
2022-03-16,376.5523
2022-03-17,389.6472
2022-03-18,398.18634
2022-03-19,398.005
2022-03-20,396.00336
2022-03-21,387.52365
2022-03-22,398.22174
2022-03-23,404.41855
2022-03-24,403.43008
2022-03-25,411.0889
2022-03-26,412.49414
2022-03-27,415.43265
2022-03-28,427.4624
2022-03-29,429.90738
2022-03-30,434.04218
2022-03-31,430.95154
2022-04-01,432.1626
2022-04-02,430.4994
2022-04-03,430.75604
2022-04-04,451.89737
2022-04-05,448.97165
2022-04-06,425.87125
2022-04-07,428.06378
2022-04-08,425.25204
2022-04-09,426.25452
2022-04-10,424.8944
2022-04-11,411.51117
2022-04-12,407.2261
2022-04-13,421.79453
2022-04-14,421.7292
2022-04-15,411.74042
2022-04-16,416.5516
2022-04-17,412.1816
2022-04-18,412.26617
2022-04-19,416.30838
2022-04-20,419.5103
2022-04-21,416.00397
2022-04-22,412.89954
2022-04-23,411.07474
2022-04-24,399.54834
2022-04-25,401.2504
2022-04-26,401.56238
2022-04-27,387.043
2022-04-28,401.11377
2022-04-29,403.81152
2022-04-30,393.879
2022-05-01,383.83032
2022-05-02,383.17258
2022-05-03,384.5108
2022-05-04,387.24033
2022-05-05,393.6327
2022-05-06,380.37003
2022-05-07,375.69092
2022-05-08,364.6288
2022-05-09,333.30237
2022-05-10,315.9293
2022-05-11,283.2977
2022-05-12,272.77975
2022-05-13,287.50427
2022-05-14,294.8864
2022-05-15,309.10263
2022-05-16,305.63562
2022-05-17,303.0905
2022-05-18,300.0618
2022-05-19,296.2032
2022-05-20,302.09268
2022-05-21,304.91287
2022-05-22,312.8305
2022-05-23,317.95166
2022-05-24,315.8223
2022-05-25,323.30997
2022-05-26,319.55716
2022-05-27,306.9766
2022-05-28,305.4713
2022-05-29,305.60605
2022-05-30,310.31793
2022-05-31,320.57837
2022-06-01,312.9487
2022-06-02,305.38153
2022-06-03,303.38553
2022-06-04,303.37152
2022-06-05,300.15918
2022-06-06,300.1812
2022-06-07,297.51392
2022-06-08,289.83325
2022-06-09,289.2071
2022-06-10,289.25745
2022-06-11,284.6679
