Symbol,PC1,PC2,Cluster
AAVE-USD,0.13526613555667685,1.3827916358177752,0
ADA-USD,0.06110821104232116,-0.17365831805620205,0
ALGO-USD,-0.9083636167422452,-0.7514445782648024,1
AR-USD,-2.425124558829633,1.378670772181151,3
ATOM-USD,-0.9271520825806868,-1.5183709822314884,1
AVAX-USD,-0.7643892194031969,-0.047297122310527934,1
BNB-USD,3.169300116978652,-1.1273995995618022,2
BTC-USD,3.6526026404703726,-1.4443133279446243,2
CAKE-USD,-0.61674518423897,-0.0513329540405114,1
CRV-USD,-2.008655285210216,0.8305096169860934,3
DASH-USD,0.09031320593166353,1.1076817378985935,0
DOGE-USD,0.5440167531503282,0.9604367638311292,0
ENJ-USD,-2.5509468372801094,-1.8972873473117935,1
EOS-USD,-0.9912956746613791,-1.3527321319250682,1
ETH-USD,2.008165393613429,-0.6825343384385476,2
FIL-USD,-2.0384510980835606,-0.13494931414645595,1
ICP-USD,-1.1436440149467049,0.34839075909387335,3
LINK-USD,0.506917798120433,0.3487715349768139,0
LTC-USD,1.1281066542739353,-0.6771013232960393,0
MANA-USD,-1.5964691001977749,-0.9025749705720872,1
NEO-USD,-0.6168382639139208,-0.24597128339112256,1
QNT-USD,0.6849654452242789,-0.2639568714921808,0
SAND-USD,-2.3184604341709707,-0.9817615937621043,1
SHIB-USD,-1.0680680716800721,1.4785468612450077,3
SOL-USD,0.4174222898427374,1.5078611401750326,0
TRX-USD,3.319623269083654,0.06842396255874386,2
VET-USD,-0.3764219567641689,-0.6524899503556727,1
XLM-USD,1.0084923999105737,0.461965103500121,0
XMR-USD,2.7403594491343632,0.24018197625857643,2
ZEC-USD,0.8843656363701947,2.7909441425781187,0
